연도,평균기온,최저기온,최고기온
1960,12.1,7.8,17
1961,12.4,8.1,17.2
1962,11.7,7.3,16.5
1963,11.3,7.2,16
1964,12.2,8.4,16.7
1965,11.4,7,16.4
1966,11.5,7.4,16.3
1967,11.6,7.7,16.5
1968,11.8,7.6,16.8
1969,10.9,7,15.4
1970,11.4,7.5,16.1
1971,11.5,7.8,16.1
1972,11.9,8,16.5
1973,12,8.2,16.8
1974,11.1,7.2,15.9
1975,12.5,8.6,17.4
1976,11.5,7.4,16.4
1977,12.3,8.1,17.3
1978,12.4,8.4,17.2
1979,12.5,8.6,17.2
1980,10.8,6.8,15.7
1981,11.2,7.2,15.8
1982,12.5,8.3,17.4
1983,12.4,8.3,16.9
1984,11.6,7.6,16.5
1985,11.6,7.7,16.2
1986,11.2,7.4,15.7
1987,11.9,7.9,16.4
1988,12.1,8,16.8
1989,13,9,17.5
1990,12.8,9,17.1
1991,12.3,8.2,17
1992,12.5,8.5,16.9
1993,12,8.1,16.7
1994,13.5,9.5,18.3
1995,12.2,8.2,16.7
1996,12.2,8.3,16.8
1997,12.9,8.7,17.7
1998,13.8,9.8,18.4
1999,13.2,9,17.8
2000,12.7,8.6,17.1
2001,12.8,8.9,17.3
2002,12.9,9.1,17.2
2003,12.8,9.2,17
2004,13.3,9.5,17.7
2005,12.1,8.4,16.4
2006,13,9.3,17.2
2007,13.3,9.7,17.5
2008,12.9,9.1,17.3
2009,12.9,9.1,17.2
2010,12.1,8.5,16.3
2011,12,8.4,16.4
2012,12.2,8.5,16.7
2013,12.5,8.7,16.9
2014,13.4,9.3,18.3
2015,13.6,9.3,18.7
2016,13.6,9.4,18.5
2017,13,8.8,18.1
2018,12.9,8.8,17.9
2019,13.5,9.3,18.5
2020,13.2,9.4,17.9
2021,13.7,9.6,18.5
2022,13.2,9.2,18
